Date,mean_lai
2023-02-01,NaN
2023-02-02,NaN
2023-02-03,NaN
2023-02-04,NaN
2023-02-05,NaN
2023-02-06,NaN
2023-02-07,NaN
2023-02-08,NaN
2023-02-09,NaN
2023-02-10,NaN
2023-02-11,NaN
2023-02-12,NaN
2023-02-13,NaN
2023-02-14,NaN
2023-02-15,NaN
2023-02-16,NaN
2023-02-17,NaN
2023-02-18,NaN
2023-02-19,NaN
2023-02-20,NaN
2023-02-21,NaN
2023-02-22,NaN
2023-02-23,NaN
2023-02-24,NaN
2023-02-25,NaN
2023-02-26,NaN
2023-02-27,NaN
2023-02-28,NaN
2023-03-01,NaN
2023-03-02,NaN
2023-03-03,NaN
2023-03-04,NaN
2023-03-05,NaN
2023-03-06,NaN
2023-03-07,NaN
2023-03-08,NaN
2023-03-09,NaN
2023-03-10,NaN
2023-03-11,NaN
2023-03-12,NaN
2023-03-13,NaN
2023-03-14,NaN
2023-03-15,0.6402371336345505
2023-03-16,0.6443726014492589
2023-03-17,0.6496573263910136
2023-03-18,0.6567314437449837
2023-03-19,0.6667187723093935
2023-03-20,0.6798124997831597
2023-03-21,0.6951699821321955
2023-03-22,0.7128768414256736
2023-03-23,0.7353883562351642
2023-03-24,0.7633107135506905
2023-03-25,0.7946650442839539
2023-03-26,0.8270914442868653
2023-03-27,0.8585473149027832
2023-03-28,0.8890711340370326
2023-03-29,0.9201280578396399
2023-03-30,0.9520486386546022
2023-03-31,0.9858381991227368
2023-04-01,1.021030951287855
2023-04-02,1.0578541090866773
2023-04-03,1.0965348864559241
2023-04-04,1.1373004973323158
2023-04-05,1.1802862024870817
2023-04-06,1.2253570799902633
2023-04-07,1.2723350697268005
2023-04-08,1.321042111581635
2023-04-09,1.3718808691008206
2023-04-10,1.424152599726791
2023-04-11,1.4776613502140319
2023-04-12,1.5322295027349468
2023-04-13,1.5876794394619331
2023-04-14,1.643833542567388
2023-04-15,1.7005141942237125
2023-04-16,1.7575437766033062
2023-04-17,1.8147446718785663
2023-04-18,1.872451767873048
2023-04-19,1.931108060232152
2023-04-20,1.990698092861061
2023-04-21,2.051206409664952
2023-04-22,2.112617554549004
2023-04-23,2.178991526433816
2023-04-24,2.245836646544992
2023-04-25,2.236147229635174
2023-04-26,2.231283884355255
2023-04-27,2.3137211016894366
2023-04-28,2.4129441603304875
2023-04-29,2.524175710051351
2023-04-30,2.6430956343237635
2023-05-01,2.7661349493063354
2023-05-02,2.889643003802301
2023-05-03,3.007426978347319
2023-05-04,3.115397002868336
2023-05-05,3.219527909461909
2023-05-06,3.3162722090395573
2023-05-07,3.392543202468761
2023-05-08,3.456879318084007
2023-05-09,3.526755722891458
2023-05-10,3.618671040376231
2023-05-11,3.7229261918917147
2023-05-12,3.8168279845328663
2023-05-13,3.9013254997092317
2023-05-14,3.9866596501404907
2023-05-15,4.074230082515771
2023-05-16,4.162529734278998
2023-05-17,4.253033060276899
2023-05-18,4.348484348449614
2023-05-19,4.448969740931914
2023-05-20,4.643669159440419
2023-05-21,4.823091039542215
2023-05-22,4.887319734330366
2023-05-23,4.934280852289365
2023-05-24,4.960216283420741
2023-05-25,4.931037336188316
2023-05-26,4.862605613241789
2023-05-27,4.763483894025356
2023-05-28,4.605580543542559
2023-05-29,4.52625739389745
2023-05-30,4.772301614049456
2023-05-31,5.037574968392194
2023-06-01,5.105000495453354
2023-06-02,5.165296102337996
2023-06-03,5.217385480609782
2023-06-04,5.238037022288157
2023-06-05,5.229771549832313
2023-06-06,5.178089346804651
2023-06-07,5.060995022080206
2023-06-08,4.952203296326738
2023-06-09,4.951360189304371
2023-06-10,4.943344108712398
2023-06-11,4.836802410164475
2023-06-12,4.701799864668928
2023-06-13,4.5795986800862805
2023-06-14,4.488466836725657
2023-06-15,4.410282748013092
2023-06-16,4.33422758615265
2023-06-17,4.226887173008598
2023-06-18,4.077417026755722
2023-06-19,3.88083519419402
2023-06-20,3.6594390023195467
2023-06-21,3.4325543789702992
2023-06-22,3.178130613539771
2023-06-23,2.948585274986566
2023-06-24,NaN
2023-06-25,NaN
2023-06-26,NaN
2023-06-27,NaN
2023-06-28,NaN
2023-06-29,NaN
2023-06-30,NaN
2023-07-01,NaN
2023-07-02,NaN
2023-07-03,NaN
2023-07-04,NaN
2023-07-05,NaN
2023-07-06,NaN
2023-07-07,NaN
2023-07-08,NaN
2023-07-09,NaN
2023-07-10,NaN
2023-07-11,NaN
2023-07-12,NaN
2023-07-13,NaN
2023-07-14,NaN
2023-07-15,NaN
2023-07-16,NaN
2023-07-17,NaN
2023-07-18,NaN
2023-07-19,NaN
2023-07-20,NaN
2023-07-21,NaN
2023-07-22,NaN
2023-07-23,NaN
2023-07-24,NaN
2023-07-25,NaN
2023-07-26,NaN
2023-07-27,NaN
2023-07-28,NaN
2023-07-29,NaN
2023-07-30,NaN
2023-07-31,NaN
2023-08-01,NaN
